GEO/TIME;2018;2019
France;42;42
Île de France;44;43
Centre - Val de Loire;39;41
Bourgogne;42;39
Franche-Comté;44;38
Basse-Normandie;43;38
Haute-Normandie;49;46
Nord-Pas-de-Calais;48;48
Picardie;44;40
Alsace;33;45
Champagne-Ardenne;54;35
Lorraine;45;42
Pays-de-la-Loire;38;46
Bretagne;39;41
Aquitaine;39;43
Limousin;45;45
Poitou-Charentes;35;38
Languedoc-Roussillon;34;38
Midi-Pyrénées;42;41
Auvergne;30;40
Rhône-Alpes;42;46
Provence-Alpes-Côte d'Azur;44;41
